Balanceig de càrrega,Equilibrar al màxim la quantitat de treball de cada thread per a tenir un mínim "idle" time,equlibri treball,
T(1),Temps d'execució seqüencial,seq,
Fine grained vs. Coarse grained, fine grained dona més facilitat per a equilibrar el balanceig de càrrega però té més overhead i per Coarse Grained el contrari,overhead,
T(inf), temps d'execució del camí crític el qual determina el temps d'execució mínima del programa, camí crític,
Paralelisme, T(1)/T(inf),de petit a gran baixant,
Parallel fraction, phi= % de temps a paralelitzar T(paralelitzable)/T(1),phi,
Speedup, T(1)/T(t), quant accelerem amb cert paralelisme t ,
Eficiència, Speedup(t)/t, ratio spt/t,
Llei the Amdhal, Speedup(inf)= 1/(1-phi), màxim speedup que podem aconseguir,
T(p), temps no accelerat + temps accelerat(p), podem accelerar la totalitat del temps?,
Temps no accelerat, T(1)*(1-phi), quina fracció no podem accelerar, 
Temps accelerat, phi*T(1)/P, quina part podem accelerar i per quant podrem reduïrn-ne el temps,
Strong scale vs. Weak scale, Strong Scale consisteix en executar una feina fixa el més ràpid possible mentre que Weak scale consisteix en executar més feina en el mateix temps, 
Límits en el paralel·lisme, Factors limitants com algorismes configuracions entorns i hardware + quantitat de feina + overheads + recursos + Load balance (equilibri en la distribució de dades), , 
Dos tipus de nodes, Nodes login i Nodes de computació, ,
Característiques dels nodes de login, accés extern connexxió ssh tranf dades + us compilar i tests basics Marenostrum login iguals a computació, , 
Command per copiar fitxers del PC a MareNostrum, scp pathlocal username@mn1.bsc.es pathdestí, , 
Variables d'entorn, variables que consulten les eines del sistema per a configurar el seu comportament les defineix l'interpret de comandes però poden ser interpretades per qualsevol software, , 
Mostrar un valor d'una variable d'entorn, echo $MI_VARIABLE, , 
variable PATH, llista ordenada de directoris en els quals bucar executables, , 
variable HOME, directori arrel d'usuari, , 
variable USER, nom d'usuari, , 
OMP_NUM_THREADS, defineix el max nombre de threads a utilitzar per cada parallel region, , 
OMP_SCHEDULE, defineix l'scheduling de bucles a utlitzar en temps d'execució, , 
Què és un mòdul, fitxer que modifica algunes variables d'entorn per a donar visibilitat a un software que està instal·lat al sistema, ,
Com funciona un sitema de cues + exemple, Demanar recursos i després executar els Jobs s'executen a mesura que hi ha recursos disponibles un exemple de sistema de cues és SLURM, , 
Comandes d'execució a SLURM, sbatch rep un script especificat que sovint porta un srun per correr algun fitxer a dins salloc és similar però serveix només per a reservar recursos, ,
Tipus de variables i coses que impliquen, Shared: rance conditions i errs d'accés + Private: no conflictes una copia per thread sense valor inicial + Firstprivate: amb copia inicial pr i fpr no guarden sortint, , 


